name,phi,psi,theta,energy,ani2_energy,ani1x_energy,cnn_energy,BAND_energy,bobrfr_energy,bobkrr_energy,bobbrr_energy,ecfprfr_energy,fchl_energy,mmff_energy,gaff_energy
ala-ala,-120.0,80.0,,-357308.6437859478,-357313.8851425902,-358254.5071400606,-358229.0390304057,-2313.79052734375,-285147.91057040635,-358246.1558770842,-358112.08870881726,-286973.0002494195,-358210.025425955,44.69383413795649,28.501932683960842
ala-ala,-140.0,-100.0,,-357316.94678852096,-357320.71129682596,-358261.84973293083,-358234.04623255425,-2311.7685546875,-285148.4031379432,-358241.53861585015,-358127.08787351684,-286973.00024941954,-358242.05595057673,33.051586467596714,-17.123042461995773
ala-ala,-140.0,-120.0,,-357316.58770653966,-357321.5974230282,-358263.186254416,-358235.7029250591,-2317.47314453125,-285147.7774137754,-358238.60536383296,-358120.7217307191,-286973.0002494195,-358235.7758218772,29.010907182776478,-13.114668789868093
ala-ala,-140.0,-140.0,,-357310.6204704825,-357316.0071973606,-358256.6739685288,-358233.8902724712,-2308.38037109375,-285145.91514917713,-358241.08679390326,-358122.51942684915,-286973.0002494195,-358235.9231876444,37.550193637510006,-9.746355738401293
ala-ala,-140.0,-160.0,,-357306.55912772554,-357312.6970474532,-358253.52451148146,-358225.0384810893,-2305.5400390625,-285147.62160012417,-358246.8449803584,-358128.22377428267,-286973.00024941954,-358221.6240819814,48.629243228090154,4.296828010812554
ala-ala,-140.0,-180.0,,-357311.5214299175,-357316.50928518106,-358257.5950606793,-358231.053480479,-2308.426513671875,-285147.85944055824,-358236.410885582,-358121.91586633516,-286973.00024941954,-358230.33676973707,38.97567359225432,-4.036563011186608
ala-ala,-140.0,-20.0,,-357314.4659347094,-357319.65658319264,-358260.5459199135,-358234.06107935595,-2313.454833984375,-285146.5367003381,-358233.2424467765,-358116.6076579154,-286973.00024941954,-358237.37099085574,30.150108559146982,-10.454409357573098
ala-ala,-140.0,-40.0,,-357308.4493869967,-357314.11926434,-358255.02432283957,-358231.0697310893,-2306.59130859375,-285148.3668504134,-358251.87725949986,-358131.08032870735,-286973.00024941954,-358227.01556050574,43.88735811873231,-4.917885403593672
ala-ala,-140.0,-60.0,,-357307.7732684334,-357313.82925143157,-358254.7761106381,-358224.59921106976,-2306.557861328125,-285147.13691394305,-358242.4877411585,-358128.25763643486,-286973.00024941954,-358220.21405059885,46.415128196379534,4.326593340835694
ala-ala,-140.0,-80.0,,-357312.7808830238,-357317.28006650595,-358258.92543880735,-358233.1221145122,-2310.3125,-285146.3369649335,-358232.61109292996,-358118.45771422837,-286973.0002494195,-358235.62626338925,36.15173283795893,-10.088205659990932
ala-ala,-140.0,0.0,,-357319.038932051,-357323.6950901164,-358264.59989981307,-358237.01437220257,-2314.8369140625,-285149.4407861093,-358236.0871297232,-358122.0492404657,-286973.0002494195,-358247.1275969965,30.579731681009022,-17.966631787948263
ala-ala,-140.0,100.0,,-357316.780772405,-357321.7790762884,-358263.32948720956,-358236.2782882183,-2317.775146484375,-285148.775349214,-358239.50541708886,-358120.83202270704,-286973.00024941954,-358237.1214602165,29.273225904888193,-13.853809353504644
ala-ala,-140.0,120.0,,-357316.2236677324,-357319.8284534016,-358261.0129833707,-358235.5560592144,-2311.12109375,-285148.9018031654,-358243.06164479716,-358129.2863763243,-286973.00024941954,-358238.29923973687,33.490813632541624,-16.637390053884445
ala-ala,-140.0,140.0,,-357312.72595112876,-357317.29043709976,-358258.9100757391,-358233.90580591845,-2310.012939453125,-285146.02687686816,-358232.957589496,-358118.4982090258,-286973.00024941954,-358236.1847198038,36.421697723357056,-9.320140715142834
ala-ala,-140.0,160.0,,-357307.49558604514,-357313.64790593187,-358254.4665583708,-358227.09029993706,-2306.60107421875,-285147.1369139431,-358243.2142469117,-358128.2366736295,-286973.0002494194,-358220.2321405416,46.83786075308688,4.877530386855604
ala-ala,-140.0,180.0,,-357308.93271507364,-357314.3633836407,-358255.16669537616,-358231.9607528178,-2306.541015625,-285148.3668504134,-358250.90000752726,-358131.2124755533,-286973.00024941954,-358229.08404616837,42.65358622166893,-6.240233126530683
ala-ala,-140.0,20.0,,-357313.2171775823,-357316.782604418,-358258.02526399336,-358232.83886561077,-2309.466064453125,-285147.1174606413,-358239.3617915694,-358127.4011241484,-286973.0002494195,-358231.68885299086,35.1802819460507,-13.553973896568372
ala-ala,-140.0,40.0,,-357311.0039923693,-357316.14626776904,-358257.2827780311,-358229.3662551372,-2307.884033203125,-285147.5133105953,-358237.3034583421,-358123.54821919854,-286973.00024941954,-358229.6164272113,39.92198077674404,-2.6904991685654314
ala-ala,-140.0,60.0,,-357306.4879421981,-357312.6539236892,-358253.5802505259,-358224.841749522,-2305.291748046875,-285147.6216001242,-358246.07299319067,-358127.68650353473,-286973.00024941954,-358220.8209666005,48.92287179628821,3.4761399357697518
ala-ala,-140.0,80.0,,-357310.9584233676,-357316.4394422164,-358257.1775461562,-358234.8940261333,-2309.27294921875,-285146.3767376384,-358239.68105913047,-358120.8935543601,-286973.0002494195,-358235.60633604974,36.52722461861567,-9.921715765930957
ala-ala,-160.0,-100.0,,-357311.7408320498,-357316.48630573595,-358258.0040754889,-358231.85580286675,-2311.424072265625,-285147.01087582967,-358254.4628180719,-358125.55962463794,-286973.0002494194,-358235.8112069599,37.16499567028892,-21.890860896381913
ala-ala,-160.0,-120.0,,-357310.98944108124,-357315.2360802971,-358255.8402672708,-358230.60018763226,-2310.06396484375,-285148.3979966765,-358246.7683800813,-358118.3213823614,-286973.0002494195,-358233.5784706483,35.421088219594786,-18.252742770209288
ala-ala,-160.0,-140.0,,-357309.8963733494,-357314.9778972775,-358255.74580731,-358231.11236414604,-2308.662841796875,-285146.6952856201,-358250.6372925144,-358121.46879792836,-286973.00024941954,-358234.965121975,37.999914616618135,-19.67744515710448
ala-ala,-160.0,-160.0,,-357308.1891473782,-357313.20547700365,-358253.8517457708,-358227.51865992235,-2308.622314453125,-285149.9245715257,-358264.3254029683,-358133.4606956305,-286973.0002494195,-358228.7776625926,45.76446672066905,-7.007459129348106
ala-ala,-160.0,-180.0,,-357314.25064448954,-357319.38540895266,-358260.39761908405,-358234.21795496636,-2312.472412109375,-285148.43106351397,-358249.6121653685,-358120.99672295345,-286973.00024941954,-358236.70825632924,36.093131809639104,-15.323538261606885
ala-ala,-160.0,-20.0,,-357303.33818601054,-357307.6513059362,-358246.21645045,-358215.45898279827,-2303.314453125,-285141.2507070643,-358230.5033884306,-358098.88954650366,-286973.0002494195,-358188.54411041987,47.016458762695414,-12.949568190098065
ala-ala,-160.0,-40.0,,-357309.37243309646,-357314.93348651537,-358256.03578873,-358230.83196863823,-2308.71484375,-285148.2623233624,-358255.3972816085,-358123.19552375074,-286973.00024941954,-358229.7489301683,41.743449236789075,-16.203235278493754
ala-ala,-160.0,-60.0,,-357310.0898773181,-357315.27076396457,-358255.99634781585,-358228.46066126507,-2310.638916015625,-285149.8474120765,-358258.53609765065,-358125.74934750685,-286973.00024941954,-358225.3492356487,43.25958330587653,-7.120417707530238
ala-ala,-160.0,-80.0,,-357314.5241085689,-357319.64037447685,-358260.86573916127,-358234.44045862847,-2313.930419921875,-285147.4755522148,-358247.7686719809,-358119.0715769797,-286973.0002494195,-358240.1305165393,34.63909792730915,-20.343530996614774
ala-ala,-160.0,0.0,,-357313.47975166544,-357318.4543777063,-358259.84664316516,-358235.2688277691,-2311.583251953125,-285150.5037761827,-358250.8596128499,-358124.81297349866,-286973.0002494195,-358236.84465148207,35.241734953626434,-22.166527105143146
ala-ala,-160.0,100.0,,-357312.21700026724,-357316.719056553,-358257.74701760104,-358230.8813613384,-2311.061767578125,-285148.5204761524,-358246.9838183606,-358117.82892101613,-286973.0002494195,-358234.2966438305,34.28350727936584,-19.397229912605933
ala-ala,-160.0,120.0,,-357311.61783141916,-357316.2607826259,-358257.8701465621,-358232.91143641155,-2311.183837890625,-285148.7511846338,-358253.8224876304,-358123.1941681032,-286973.00024941954,-358235.4899991449,37.1884583390042,-21.849811588230523
ala-ala,-160.0,140.0,,-357314.76019617834,-357319.9062608331,-358261.13951595733,-358235.79986414604,-2313.75390625,-285147.4755522148,-358247.26089592546,-358119.8142907528,-286973.0002494194,-358240.6430427102,34.59307225174948,-19.824639474420138
ala-ala,-160.0,160.0,,-357309.71583097975,-357314.8570220386,-358255.53673680266,-358227.6478560893,-2310.71484375,-285150.5955193473,-358259.4499150188,-358126.5902608683,-286973.0002494195,-358225.28797973855,43.702871988746644,-6.555338215481626
ala-ala,-160.0,180.0,,-357309.7699242201,-357315.23642536177,-358256.2810741877,-358234.20565638226,-2308.703125,-285148.3241091496,-358255.0630530557,-358123.6321240374,-286973.0002494195,-358231.616771401,40.68209074618596,-17.490279677648985
ala-ala,-160.0,20.0,,-357312.3936059658,-357317.13692992955,-358258.29678728996,-358232.2486861675,-2312.5927734375,-285148.62461309973,-358249.05112818273,-358120.4044153874,-286973.0002494195,-358238.4861188856,36.05427327708226,-21.680744352032644
ala-ala,-160.0,40.0,,-357313.74196900724,-357318.90174012736,-358259.92572135647,-358233.3230422466,-2311.9130859375,-285148.38480283815,-358251.0873191424,-358121.69669405144,-286973.00024941954,-358236.20301896706,36.93182347688335,-14.056115955800893
ala-ala,-160.0,60.0,,-357308.0036607,-357313.1014260013,-358253.84969798505,-358226.8057692973,-2308.22607421875,-285147.79764697736,-358262.8355874227,-358133.9204751416,-286973.00024941954,-358228.4942885541,46.13453754163575,-7.810060356395986
ala-ala,-160.0,80.0,,-357309.32111242437,-357314.2545110583,-358254.79458746273,-358231.5652297466,-2308.8056640625,-285146.6952856201,-358249.4284443914,-358120.1286904744,-286973.00024941954,-358234.95610096474,38.270228308471474,-19.10368009546005
ala-ala,-180.0,-100.0,,-357297.807720167,-357305.3658117273,-358244.58010134223,-358226.6396163433,-2306.331298828125,-285145.1896723075,-358265.5405347078,-358128.5656997927,-286973.00024941954,-358223.9328996107,55.34261358728357,125.27478876599905
ala-ala,-180.0,-120.0,,-357296.06554606964,-357303.80335867277,-358241.59169936954,-358223.6747725933,-2305.1865234375,-285138.5339353422,-358253.36976802413,-358103.367797497,-286973.0002494195,-358213.7320443562,53.5196213113589,128.21965993346706
ala-ala,-180.0,-140.0,,-357301.540623139,-357308.6021177845,-358248.2458996129,-358230.56710657757,-2309.25439453125,-285143.1384606955,-358257.9262876322,-358115.39118596684,-286973.00024941954,-358229.82638719626,48.70520729230502,121.28132914626171
ala-ala,-180.0,-160.0,,-357298.87962750933,-357304.5904979306,-358244.0292095787,-358223.5235274761,-2305.1181640625,-285148.29569654365,-358270.83582808217,-358127.5197176711,-286973.00024941954,-358212.3879395182,57.879389730349864,135.31369037216086
ala-ala,-180.0,-180.0,,-357302.2277005433,-357307.8725017482,-358247.43803411716,-358228.28671106976,-2306.776123046875,-285143.97149251896,-358260.2434460145,-358116.03700401937,-286973.00024941954,-358220.26052201,51.63482233322136,129.82180330770694
ala-ala,-180.0,-20.0,,-357300.42901737895,-357307.70573290135,-358246.3736343683,-358230.0940383403,-2308.98046875,-285143.5007504329,-358261.16683841724,-358115.8289303028,-286973.00024941954,-358228.7244365271,47.02761303125636,124.89291009662573
ala-ala,-180.0,-40.0,,-357299.9883668219,-357306.24424391886,-358245.66724179825,-358228.2484420269,-2305.81689453125,-285143.83181180694,-358261.1629485594,-358126.3763920799,-286973.00024941954,-358215.29499460524,53.476519177115364,125.61116714483586
ala-ala,-180.0,-60.0,,-357300.1173381746,-357306.2218613424,-358244.9756419087,-358224.5467208355,-2306.064697265625,-285149.86687822035,-358268.73350953945,-358123.73144439235,-286973.0002494195,-358210.12850017427,56.55829740257741,136.2600061095311
ala-ala,-180.0,-80.0,,-357301.4573897707,-357307.31887804536,-358246.96154523524,-358227.8662551372,-2307.68896484375,-285143.1384606955,-358260.92925787024,-358116.6202075364,-286973.0002494195,-358222.9531615419,51.75735023576537,125.98442684382938
ala-ala,-180.0,0.0,,-357297.462413405,-357305.09225001244,-358243.2744275515,-358230.24807581597,-2305.362060546875,-285150.1704020315,-358268.49473211315,-358124.7368522427,-286973.0002494195,-358225.7013332354,54.41892885252878,125.88046480453902
ala-ala,-180.0,100.0,,-357295.88553568255,-357303.8428172899,-358241.3380638085,-358222.334074351,-2305.093017578125,-285142.70988993155,-358252.39131917205,-358105.87103440077,-286973.00024941954,-358214.1435885085,53.997149032374345,128.13933587580613
ala-ala,-180.0,120.0,,-357297.8717020244,-357305.4104556413,-358244.6604512178,-358228.7411788433,-2306.16357421875,-285143.7461881083,-358265.0815314849,-358127.62158994,-286973.00024941954,-358223.37148489367,55.29654545373406,125.18581090792051
ala-ala,-180.0,140.0,,-357301.7582978925,-357307.59356821503,-358247.30104753765,-358227.56139979046,-2307.586669921875,-285143.13846069545,-358261.3418820193,-358116.88546401804,-286973.00024941954,-358224.079696159,51.52108863232135,126.43464040051012
ala-ala,-180.0,160.0,,-357299.89828026644,-357306.0382216286,-358244.72915957187,-358225.75225672405,-2306.311279296875,-285150.1704020315,-358271.369935483,-358125.9887671229,-286973.0002494195,-358210.6071654127,56.74881897643997,136.6337996348242
ala-ala,-180.0,180.0,,-357300.3512227503,-357306.80431193847,-358246.0822503552,-358226.91241297405,-2306.048095703125,-285144.16879918904,-358260.86313028727,-358123.13520105014,-286973.0002494195,-358215.33857083134,52.4182649907144,124.29121228754336
ala-ala,-180.0,20.0,,-357299.17755027005,-357305.58940434013,-358244.6508668325,-358226.14353785204,-2306.75732421875,-285143.7138501608,-358257.55705035885,-358115.73858923843,-286973.0002494195,-358218.2776903622,53.85175698801079,125.12331736746141
ala-ala,-180.0,40.0,,-357302.03613048774,-357307.6956047855,-358247.2136472946,-358227.73946985893,-2306.384765625,-285145.36871604226,-358260.42567089235,-358115.3997655774,-286973.00024941954,-358219.17787452665,52.1364772093964,130.8108731522185
ala-ala,-180.0,60.0,,-357298.7519329147,-357304.34393519873,-358244.0277415315,-358223.68818506884,-2304.6142578125,-285147.7187903911,-358271.123378341,-358127.38675401366,-286973.00024941954,-358212.1405151063,58.13694584605243,134.45706734814942
ala-ala,-180.0,80.0,,-357301.6458430342,-357308.83057860774,-358248.4556153128,-358230.6824630229,-2309.93212890625,-285143.1384606955,-358258.8047970602,-358115.27576141566,-286973.0002494195,-358229.5954432514,48.11644090323997,121.43110595247414
ala-ala,-20.0,-100.0,,-357317.8447375605,-357322.5361482853,-358263.52774840035,-358234.32833704643,-2312.576171875,-285149.2688657021,-358246.6618578209,-358125.6967216394,-286973.00024941954,-358224.2499265296,33.099673508091,-16.430111630871686
ala-ala,-20.0,-120.0,,-357309.7764206661,-357314.12411389826,-358253.63314698194,-358230.3179763286,-2321.42138671875,-285148.3716087048,-358248.3554420724,-358122.7477521278,-286973.00024941954,-358211.677262027,37.57509580012617,14.709600696138878
ala-ala,-20.0,-140.0,,-357312.8058799464,-357318.49637301534,-358259.8486441978,-358232.84298548393,-2311.30126953125,-285143.2944156302,-358240.7277301043,-358118.99801750545,-286973.00024941954,-358220.4696930366,36.948119807649256,-14.593788143394717
ala-ala,-20.0,-160.0,,-357301.3025703233,-357308.05766161194,-358247.68302970566,-358218.3271163433,-2301.510009765625,-285147.0133480821,-358248.5879358822,-358121.10338409245,-286973.0002494195,-358206.0586733118,53.651650496380604,10.113775308604446
ala-ala,-20.0,-180.0,,-357308.6857312094,-357314.38355593773,-358254.472234197,-358228.30377039604,-2303.646728515625,-285145.5831365805,-358246.07658382866,-358119.11303219094,-286973.0002494195,-358214.45361882605,43.46737059652467,-1.0004707629245218
ala-ala,-20.0,-20.0,,-357313.80516853754,-357318.1646445801,-358259.18487175263,-358235.079450938,-2318.416259765625,-285147.42349310673,-358243.75613402814,-358122.8432764985,-286973.0002494194,-358215.2158766739,32.59943161166009,-7.624719368362478
ala-ala,-20.0,-40.0,,-357307.58439584245,-357313.5754516665,-358254.01120188955,-358228.3778975933,-2305.02392578125,-285146.4379634267,-358251.211196153,-358126.87059820205,-286973.00024941954,-358218.3680091675,45.39063745695128,-7.962750745568215
ala-ala,-20.0,-60.0,,-357300.8466800301,-357308.0515064034,-358247.6925018834,-358219.4917586773,-2302.330322265625,-285146.8659145376,-358252.65104198665,-358121.5905844473,-286973.00024941954,-358205.9601528441,53.15255741086314,17.701492975479084
ala-ala,-20.0,-80.0,,-357312.08596357045,-357316.8460123919,-358257.9361151845,-358231.1345351665,-2308.929931640625,-285146.1117314754,-358238.78399807296,-358118.881958608,-286973.0002494195,-358217.2007362377,38.936648591921184,-12.134652206219045
ala-ala,-20.0,0.0,,-357321.15071512596,-357326.53191381413,-358266.33908703714,-358229.0745833843,-2317.263916015625,-285148.43418522313,-358240.1403615732,-358115.9392356798,-286973.00024941954,-358220.3794864387,28.67604354904559,5.701925036296473
ala-ala,-20.0,100.0,,-357310.4516129538,-357314.89021353424,-358254.37066776515,-358224.26132044476,-2321.64990234375,-285149.23057523736,-358249.4329326889,-358123.6525026172,-286973.0002494195,-358215.56102791964,37.084595745227716,18.155937801157364
ala-ala,-20.0,120.0,,-357316.7959432964,-357321.26430500794,-358262.1801557814,-358232.97323450726,-2311.28271484375,-285149.268865702,-358249.55142374255,-358126.6445987855,-286973.00024941954,-358224.9880936745,34.07979110881191,-17.233439018425315
ala-ala,-20.0,140.0,,-357311.8177316962,-357316.73104988347,-358257.68649103923,-358232.00111231493,-2307.982666015625,-285145.46741433995,-358240.67327209486,-358119.35986452264,-286973.0002494195,-358217.4632139787,39.391207916545625,-10.973829673429437
ala-ala,-20.0,160.0,,-357300.4075816104,-357307.65179089207,-358247.26200870005,-358217.9074996441,-2302.407958984375,-285147.0910957337,-358251.76086298504,-358119.7241823329,-286973.0002494195,-358206.77969141986,53.55941736138561,18.248509985803192
ala-ala,-20.0,180.0,,-357308.6238021787,-357314.49729673046,-358255.044651087,-358227.4626601665,-2306.232421875,-285145.01350122323,-358251.0101204256,-358127.16481902276,-286973.0002494194,-358218.89227620995,43.73917303711115,-9.819953664086036
ala-ala,-20.0,20.0,,-357313.1062185338,-357317.05314448493,-358258.1427732319,-358230.57858118706,-2308.34033203125,-285145.3939583072,-358245.9524075982,-358127.631271752,-286973.00024941954,-358216.5975920418,37.243889846534735,-16.282619567447334
ala-ala,-20.0,40.0,,-357307.5576777998,-357313.51443116745,-358253.45016470377,-358227.14275965386,-2302.740234375,-285147.1345633146,-358246.99339339515,-358119.8828712981,-286973.00024941954,-358213.3327693857,44.81774020199027,1.9035430167148637
