name,point,BAND_energy
HCN,5,-297.4816589355469
HCN,6,-295.84893798828125
HCN,7,-294.7274475097656
HCN,8,-292.7572937011719
HCN,9,-290.45953369140625
HCN,10,-287.9423522949219
HCN,11,-285.0550231933594
HCN,12,-282.1605224609375
HCN,13,
HCN,14,
HCN,15,
HCN,16,
HCN,17,
HCN,18,
HCN,19,
HCN,20,
HCN,21,
HCN,22,
HCN,23,
HCN,24,
HCN,25,
HCN,26,
HCN,27,
HCN,28,
HCN,29,
HCN,30,
HCN,31,
HCN,32,
HCN,33,
HCN,34,
HCN,35,
HCN,36,
HCN,37,
HCN,38,
HCN,39,
HCN,40,
HCN,41,
HCN,42,
HCN,43,
HCN,44,
HCN,45,
NH3,1,-267.05523681640625
NH3,2,-219.50601196289062
NH3,3,-234.87303161621094
NH3,4,-271.3193664550781
NH3,5,-283.7157287597656
NH3,6,-269.9613037109375
NH3,7,-243.90603637695312
NH3,8,-233.98330688476562
NH3,9,-224.03453063964844
NH3,10,
NH3,11,
NH3,12,
NH3,13,
NH3,14,
NH3,15,
NH3,16,
NH3,17,
NH3,18,
NH3,19,
NH3,20,
NH3,21,
NH3,22,
NH3,23,
NH3,24,
NH3,25,
NH3,26,
NH3,27,
NH3,28,
NH3,29,
NH3,30,
NH3,31,
NH3,32,
NH3,33,
NH3,34,
NH3,35,
NH3,36,
NH3,37,
NH3,38,
NH3,39,
NH3,40,
NH3,41,
NH3,42,
NH3,43,
NH3,44,
NH3,45,
N2,1,-225.88136291503906
N2,2,-223.8323211669922
N2,3,-222.86160278320312
N2,4,-223.03868103027344
N2,5,-223.22984313964844
N2,6,-223.42100524902344
N2,7,-223.61215209960938
N2,8,-224.33499145507812
N2,9,-226.98207092285156
N2,10,-225.83363342285156
N2,11,-220.13046264648438
N2,12,-211.74497985839844
N2,13,
N2,14,
N2,15,
N2,16,
N2,17,
N2,18,
N2,19,
N2,20,
N2,21,
N2,22,
N2,23,
N2,24,
N2,25,
N2,26,
N2,27,
N2,28,
N2,29,
N2,30,
N2,31,
N2,32,
N2,33,
N2,34,
N2,35,
N2,36,
N2,37,
N2,38,
N2,39,
N2,40,
N2,41,
N2,42,
N2,43,
N2,44,
N2,45,
CH4,1,-352.3944396972656
CH4,2,-331.69036865234375
CH4,3,-398.5636291503906
CH4,4,-416.3192443847656
CH4,5,-418.10614013671875
CH4,6,-403.2126770019531
CH4,7,-379.52801513671875
CH4,8,-368.0644226074219
CH4,9,-383.8929748535156
CH4,10,
CH4,11,
CH4,12,
CH4,13,
CH4,14,
CH4,15,
CH4,16,
CH4,17,
CH4,18,
CH4,19,
CH4,20,
CH4,21,
CH4,22,
CH4,23,
CH4,24,
CH4,25,
CH4,26,
CH4,27,
CH4,28,
CH4,29,
CH4,30,
CH4,31,
CH4,32,
CH4,33,
CH4,34,
CH4,35,
CH4,36,
CH4,37,
CH4,38,
CH4,39,
CH4,40,
CH4,41,
CH4,42,
CH4,43,
CH4,44,
CH4,45,
CH3OH,1,-429.03253173828125
CH3OH,2,-453.7724304199219
CH3OH,3,-481.94696044921875
CH3OH,4,-502.32611083984375
CH3OH,5,-506.98822021484375
CH3OH,6,-505.87152099609375
CH3OH,7,-502.0545959472656
CH3OH,8,-498.66357421875
CH3OH,9,-496.5112609863281
CH3OH,10,
CH3OH,11,
CH3OH,12,
CH3OH,13,
CH3OH,14,
CH3OH,15,
CH3OH,16,
CH3OH,17,
CH3OH,18,
CH3OH,19,
CH3OH,20,
CH3OH,21,
CH3OH,22,
CH3OH,23,
CH3OH,24,
CH3OH,25,
CH3OH,26,
CH3OH,27,
CH3OH,28,
CH3OH,29,
CH3OH,30,
CH3OH,31,
CH3OH,32,
CH3OH,33,
CH3OH,34,
CH3OH,35,
CH3OH,36,
CH3OH,37,
CH3OH,38,
CH3OH,39,
CH3OH,40,
CH3OH,41,
CH3OH,42,
CH3OH,43,
CH3OH,44,
CH3OH,45,
C6H6-C,1,-1012.032470703125
C6H6-C,2,-1110.4476318359375
C6H6-C,3,-1222.9683837890625
C6H6-C,4,-1319.632568359375
C6H6-C,5,-1372.7620849609375
C6H6-C,6,-1344.743408203125
C6H6-C,7,-1295.9119873046875
C6H6-C,8,-1267.739013671875
C6H6-C,9,-1216.769287109375
C6H6-C,10,-1142.380126953125
C6H6-C,11,
C6H6-C,12,
C6H6-C,13,
C6H6-C,14,
C6H6-C,15,
C6H6-C,16,
C6H6-C,17,
C6H6-C,18,
C6H6-C,19,
C6H6-C,20,
C6H6-C,21,
C6H6-C,22,
C6H6-C,23,
C6H6-C,24,
C6H6-C,25,
C6H6-C,26,
C6H6-C,27,
C6H6-C,28,
C6H6-C,29,
C6H6-C,30,
C6H6-C,31,
C6H6-C,32,
C6H6-C,33,
C6H6-C,34,
C6H6-C,35,
C6H6-C,36,
C6H6-C,37,
C6H6-C,38,
C6H6-C,39,
C6H6-C,40,
C6H6-C,41,
C6H6-C,42,
C6H6-C,43,
C6H6-C,44,
C6H6-C,45,
C6H6-H,1,-1166.7752685546875
C6H6-H,2,-1188.34521484375
C6H6-H,3,-1229.0394287109375
C6H6-H,4,-1338.080810546875
C6H6-H,5,-1372.7620849609375
C6H6-H,6,-1350.7396240234375
C6H6-H,7,-1309.7349853515625
C6H6-H,8,-1256.15234375
C6H6-H,9,-1203.6331787109375
C6H6-H,10,-721.0477905273438
C6H6-H,11,-721.992919921875
C6H6-H,12,-735.5145263671875
C6H6-H,13,-749.0032958984375
C6H6-H,14,-764.9752197265625
C6H6-H,15,-774.24072265625
C6H6-H,16,-779.2962036132812
C6H6-H,17,-780.5523071289062
C6H6-H,18,-780.5523071289062
C6H6-H,19,-780.5523071289062
C6H6-H,20,-780.5523071289062
C6H6-H,21,-780.5523071289062
C6H6-H,22,-780.5523071289062
C6H6-H,23,-780.5523071289062
C6H6-H,24,-780.5523071289062
C6H6-H,25,-780.5523071289062
C6H6-H,26,-780.5523071289062
C6H6-H,27,-780.3690185546875
C6H6-H,28,-780.3690185546875
C6H6-H,29,-780.3690185546875
C6H6-H,30,-780.3690185546875
C6H6-H,31,-780.3690185546875
C6H6-H,32,-780.3690185546875
C6H6-H,33,-780.0023803710938
C6H6-H,34,-780.0023803710938
C6H6-H,35,-780.0023803710938
C6H6-H,36,-780.0023803710938
C6H6-H,37,-780.0023803710938
C6H6-H,38,-780.0023803710938
C6H6-H,39,-780.0023803710938
C6H6-H,40,-780.0023803710938
C6H6-H,41,-779.8190307617188
C6H6-H,42,-779.8190307617188
C6H6-H,43,-779.8190307617188
C6H6-H,44,-779.8190307617188
C6H6-H,45,-779.8190307617188
